ticker
ABB.ST
ADDT-B.ST
ALFA.ST
ASSA-B.ST
ATCO-A.ST
AZN.ST
BOL.ST
EPI-A.ST
EQT.ST
ERIC-B.ST
ESSITY-B.ST
EVO.ST
HEXA-B.ST
HM-B.ST
INDU-C.ST
INVE-B.ST
LIFCO-B.ST
NDA-SE.ST
NIBE-B.ST
SAAB-B.ST
SAND.ST
SCA-B.ST
SEB-A.ST
SHB-A.ST
SKA-B.ST
SKF-B.ST
SWED-A.ST
TEL2-B.ST
TELIA.ST
VOLV-B.ST
